Job_Profile,Job_title,Department,Compensation,Level,Bonus
JP_1000,CEO,Corporate,500000.0,CSuite,1.0
JP_1001,HR Manager,Corporate,100000.0,Manager,0.2
JP_1002,AR Specialist,Corporate,65000.0,Individual Contributor,0.15
JP_1003,AP Specialist,Corporate,65000.0,Individual Contributor,0.15
JP_1004,FP&A Analyst,Corporate,70000.0,Individual Contributor,0.15
JP_1005,Coordinator,Corporate,50000.0,Individual Contributor,0.15
JP_1006,HR Coordinator,Corporate,50000.0,Individual Contributor,0.15
JP_1007,Counsel,Corporate,220000.0,Individual Contributor,0.15
JP_1008,Finance Coordinator,Corporate,55000.0,Individual Contributor,0.15
JP_1009,Accountant,Corporate,85000.0,Individual Contributor,0.15
JP_1010,"Specialist, Training and Development",Corporate,70000.0,Individual Contributor,0.15
JP_1011,"Manager, Corporate",Corporate,120000.0,Manager,0.15
JP_1012,"VP, Corporate",Corporate,225000.0,VP,0.3
JP_1013,HR Generalist,Corporate,75000.0,Individual Contributor,0.15
JP_1014,HR Analyst,Corporate,65000.0,Individual Contributor,0.15
JP_1015,Associate Account Manager,Customer Service,55000.0,Individual Contributor,0.15
JP_1016,Account Manager,Customer Service,70000.0,Individual Contributor,0.15
JP_1017,"SVP, Customer Service",Customer Service,280000.0,SVP,0.3
JP_1018,Senior Account Manager,Customer Service,100000.0,Senior,0.15
JP_1019,"Manager, Customer Service",Customer Service,85000.0,Manager,0.2
JP_1020,CS Operations Specialist,Customer Service,80000.0,Individual Contributor,0.15
JP_1021,"Director, Customer Service",Customer Service,160000.0,Director,0.2
JP_1022,Graphic Designer,Marketing,75000.0,Individual Contributor,0.15
JP_1023,Programmatic Marketing Specialist,Marketing,70000.0,Individual Contributor,0.15
JP_1024,Copy Writer,Marketing,85000.0,Individual Contributor,0.15
JP_1025,"Associate, Marketing",Marketing,120000.0,Associate,0.1
JP_1026,"VP, Marketing",Marketing,250000.0,VP,0.3
JP_1027,"Manager, Marketing",Marketing,130000.0,Manager,0.2
JP_1028,"Director, Marketing",Marketing,190000.0,Director,0.2
JP_1029,Account Executive,Sales,85000.0,Individual Contributor,0.15
JP_1030,"Director, Sales",Sales,175000.0,Director,0.2
JP_1031,Regional Sales Manager,Sales,140000.0,Manager,0.2
JP_1032,Sales Manager,Sales,120000.0,Manager,0.2
JP_1033,"SVP, Sales",Sales,350000.0,SVP,0.3
JP_1034,Sales Team Lead,Sales,95000.0,Senior,0.15
JP_1035,"Associate, Sales",Sales,75000.0,Associate,0.1
JP_1036,CTO,Technology,400000.0,CSuite,0.5
JP_1037,IT,Technology,80000.0,Individual Contributor,0.15
JP_1038,Software Engineer,Technology,110000.0,Individual Contributor,0.15
JP_1039,"Director, Engineering",Technology,200000.0,Director,0.2
JP_1040,Senior Software Engineer,Technology,140000.0,Senior,0.15
JP_1041,"VP, Technology",Technology,325000.0,VP,0.3
JP_1042,"Manager, Engineering",Technology,155000.0,Manager,0.2
JP_1043,"SVP, Technology",Technology,355000.0,SVP,0.3
JP_1044,"Senior, Copy Writer",Marketing,100000.0,Senior,0.15
JP_1045,Chief Marketing Officer,Marketing,370000.0,CSuite,0.5
JP_1046,"SVP, Marketing",Marketing,325000.0,SVP,0.3
JP_1047,"Manager, Finance",Corporate,110000.0,Manager,0.2
JP_1048,Chief Financial Officer,Corporate,390000.0,CSuite,0.5
JP_1049,Chief Human Resources Officer,Corporate,380000.0,CSuite,0.5
JP_1050,"Senior, Finance",Corporate,110000.0,Senior,0.15
JP_1051,"Director, HR",Corporate,180000.0,Director,0.2
JP_1052,"Director, Finance",Corporate,190000.0,Director,0.2
JP_1053,Chieft Customer Officer,Customer Service,380000.0,CSuite,0.5
